Month,Chicken Price,Chicken price % Change,Beef Price,Beef price % Change,Lamb price,Lamb price % Change,Pork Price,Pork price % Change,Salmon Price,Salmon price % Change
Apr-90,1.08,NaN,2.47,NaN,2.63,NaN,99.64,NaN,5.63,NaN
May-90,1.08,0.00%,2.48,0.40%,2.71,3.04%,115.68,16.10%,5.8,3.02%
Jun-90,1.11,2.78%,2.5,0.81%,2.72,0.37%,121.46,5.00%,5.67,-2.24%
Jul-90,1.1,-0.90%,2.56,2.40%,2.77,1.84%,96.19,-20.81%,5.74,1.23%
Aug-90,1.1,0.00%,2.65,3.52%,2.66,-3.97%,93.97,-2.31%,5.92,3.14%
Sep-90,1.09,-0.91%,2.7,1.89%,2.7,1.50%,95.68,1.82%,6.29,6.25%
Oct-90,1.07,-1.83%,2.59,-4.07%,2.77,2.59%,113.63,18.76%,6.35,0.95%
Nov-90,1.07,0.00%,2.53,-2.32%,2.74,-1.08%,110.74,-2.54%,6.46,1.73%
Dec-90,1.05,-1.87%,2.55,0.79%,2.65,-3.28%,106.5,-3.83%,6.5,0.62%
Jan-91,1.05,0.00%,2.59,1.57%,2.63,-0.75%,120.18,12.85%,6.34,-2.46%
Feb-91,1.08,2.86%,2.73,5.41%,2.66,1.14%,106.67,-11.24%,6.41,1.10%
Mar-91,1.07,-0.93%,2.59,-5.13%,2.45,-7.89%,109.88,3.01%,5.78,-9.83%
Apr-91,1.06,-0.93%,2.61,0.77%,2.3,-6.12%,107.66,-2.02%,5.37,-7.09%
May-91,1.06,0.00%,2.63,0.77%,2.31,0.43%,106.93,-0.68%,5.05,-5.96%
Jun-91,1.05,-0.94%,2.7,2.66%,2.2,-4.76%,104.81,-1.98%,4.6,-8.91%
Jul-91,1.07,1.90%,2.69,-0.37%,2.15,-2.27%,92.26,-11.97%,4.5,-2.17%
Aug-91,1.05,-1.87%,2.64,-1.86%,2.18,1.40%,77.79,-15.68%,4.71,4.67%
Sep-91,1.05,0.00%,2.74,3.79%,2.23,2.29%,73.21,-5.89%,5.23,11.04%
Oct-91,1.06,0.95%,2.72,-0.73%,2.22,-0.45%,59.99,-18.06%,5.18,-0.96%
Nov-91,1.04,-1.89%,2.71,-0.37%,2.28,2.70%,55.73,-7.10%,5.59,7.92%
Dec-91,1.04,0.00%,2.61,-3.69%,2.37,3.95%,52.89,-5.10%,5.58,-0.18%
Jan-92,1.05,0.96%,2.57,-1.53%,2.44,2.95%,51.77,-2.12%,5.47,-1.97%
Feb-92,1.03,-1.90%,2.52,-1.95%,2.52,3.28%,54.73,5.72%,5.36,-2.01%
Mar-92,1.04,0.97%,2.45,-2.78%,2.48,-1.59%,52.38,-4.29%,5.26,-1.87%
Apr-92,1.04,0.00%,2.38,-2.86%,2.55,2.82%,50.26,-4.05%,5.17,-1.71%
May-92,1.04,0.00%,2.38,0.00%,2.78,9.02%,64.16,27.66%,5.29,2.32%
Jun-92,1.05,0.96%,2.33,-2.10%,2.73,-1.80%,60.98,-4.96%,4.91,-7.18%
Jul-92,1.06,0.95%,2.35,0.86%,2.83,3.66%,61.04,0.10%,5.94,20.98%
Aug-92,1.08,1.89%,2.45,4.26%,2.91,2.83%,65.62,7.50%,7.07,19.02%
Sep-92,1.08,0.00%,2.44,-0.41%,2.8,-3.78%,53.85,-17.94%,7.89,11.60%
Oct-92,1.06,-1.85%,2.5,2.46%,2.52,-10.00%,53.76,-0.17%,6.94,-12.04%
Nov-92,1.09,2.83%,2.54,1.60%,2.55,1.19%,56.06,4.28%,6.04,-12.97%
Dec-92,1.09,0.00%,2.54,0.00%,2.72,6.67%,53.17,-5.16%,5.48,-9.27%
Jan-93,1.11,1.83%,2.35,-7.48%,2.69,-1.10%,59.14,11.23%,5.25,-4.20%
Feb-93,1.13,1.80%,2.39,1.70%,2.59,-3.72%,62.98,6.49%,5.07,-3.43%
Mar-93,1.15,1.77%,2.53,5.86%,2.7,4.25%,65.6,4.16%,4.93,-2.76%
Apr-93,1.18,2.61%,2.59,2.37%,2.91,7.78%,63.73,-2.85%,5.46,10.75%
May-93,1.24,5.08%,2.68,3.47%,3.03,4.12%,66.6,4.50%,5.85,7.14%
Jun-93,1.23,-0.81%,2.74,2.24%,3.02,-0.33%,68.31,2.57%,5.79,-1.03%
Jul-93,1.25,1.63%,2.82,2.92%,3.03,0.33%,65.46,-4.17%,5.4,-6.74%
Aug-93,1.28,2.40%,2.8,-0.71%,2.88,-4.95%,68.43,4.54%,5.05,-6.48%
Sep-93,1.27,-0.78%,2.73,-2.50%,3.11,7.99%,68.98,0.80%,4.73,-6.34%
Oct-93,1.23,-3.15%,2.67,-2.20%,2.98,-4.18%,66.79,-3.17%,4.35,-8.03%
Nov-93,1.21,-1.63%,2.64,-1.12%,2.97,-0.34%,60.68,-9.15%,3.94,-9.43%
Dec-93,1.18,-2.48%,2.46,-6.82%,2.98,0.34%,57.53,-5.19%,4.31,9.39%
Jan-94,1.16,-1.69%,2.42,-1.63%,3.02,1.34%,62.4,8.47%,4.33,0.46%
Feb-94,1.18,1.72%,2.49,2.89%,2.96,-1.99%,67.84,8.72%,4.49,3.70%
Mar-94,1.22,3.39%,2.69,8.03%,2.96,0.00%,62.63,-7.68%,4.59,2.23%
Apr-94,1.23,0.82%,2.63,-2.23%,2.93,-1.01%,59.98,-4.23%,5.2,13.29%
May-94,1.3,5.69%,2.39,-9.13%,2.98,1.71%,60.57,0.98%,5.43,4.42%
Jun-94,1.31,0.77%,2.23,-6.69%,2.96,-0.67%,61.27,1.16%,5.46,0.55%
Jul-94,1.28,-2.29%,2.19,-1.79%,2.96,0.00%,60.59,-1.11%,5.24,-4.03%
Aug-94,1.23,-3.91%,2.2,0.46%,2.97,0.34%,60.12,-0.78%,5.02,-4.20%
Sep-94,1.24,0.81%,2.21,0.45%,2.97,0.00%,50.41,-16.15%,5.28,5.18%
Oct-94,1.2,-3.23%,2.12,-4.07%,3.04,2.36%,45.41,-9.92%,5.35,1.33%
Nov-94,1.14,-5.00%,2.19,3.30%,3.03,-0.33%,40.26,-11.34%,4.85,-9.35%
Dec-94,1.13,-0.88%,2.23,1.83%,2.94,-2.97%,45.43,12.84%,4.89,0.82%
Jan-95,1.13,0.00%,2.16,-3.14%,2.75,-6.46%,53.42,17.59%,4.81,-1.64%
Feb-95,1.13,0.00%,2.17,0.46%,2.71,-1.45%,55.68,4.23%,4.78,-0.62%
Mar-95,1.14,0.88%,2.07,-4.61%,2.73,0.74%,54.05,-2.93%,5.08,6.28%
Apr-95,1.13,-0.88%,1.95,-5.80%,2.63,-3.66%,51.05,-5.55%,5.17,1.77%
